,Label,Synonym,Id,PMID,DefiningCitation,SuperCategory,Species/taxa,Definition,DefiningCriteria,Has role,FBbt Id,Abbrev,FBBT Link,Fasciculates with,CellSomaShape,CellSomaSize,Located in,SpineDensityOnDendrites,DendriteLocation,BranchingMetrics,AxonMyelination,AxonProjectionLaterality,LocationOfAxonArborization,LocationOfLocalAxonArborization,OriginOfAxon,Neurotransmitter/NeurotransmitterReceptors,MolecularConstituents,Curator_Notes,Phenotypes: ilx:has_location_phenotype,Notes
:Category:Larval Pdf neuron,Larval Pdf neuron,,nlx_148516,,,Pdf neuron,:Category:Drosophila,Larval neuron that expresses Pdf (FBgn0023178).,,,:Category:Larval Pdf neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00100166,,,,,,,,,,,,,,,,,
:Category:Larval Pdf neuron close to calyx,Larval Pdf neuron close to calyx,,nlx_148518,,,Larval Pdf neuron,:Category:Drosophila,Larval Pdf (FBgn0023178) expressing neuron whose cell body lies in a cluster within the dorsal cortex. Pdf expression begins late in L1. Its process project into the median ventral brain dorsolateral to the esophagus. There are two to four of these neurons per cluster.,,,:Category:Larval Pdf neuron close to calyx,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00100168,,,,,,,,,,,,,,,,,
:Category:Larval dorsomedial neurosecretory cell,Larval dorsomedial neurosecretory cell,MNC,nlx_148995,,,Dorsomedial neurosecretory cell,:Category:Drosophila,"Neurosecretory cell of the pars intercerebralis. Its axonal projection bifurcates, with one of the main branches projecting to the contralateral side and exiting the brain and bifurcating again. One of these secondary branches fasciculates with the nerve tracts that innervate the corpus cardiacum in the ring gland and also innervate the hypocerebral ganglion. The other follows the aorta and innervates the heart (Cao and Brown, 2001, Rulifson et al., 2002, Ikeya et al., 2002). The other main projection innervates the subesophageal ganglion and the esophagus (Rulifson et al., Ikeya et al., 2002). These cells are present in a bilateral cell body cluster of four to five cells in each hemisphere (Cao and Brown, 2001, Rulifson et al., 2002, Ikeya et al., 2002).",,,:Category:Larval dorsomedial neurosecretory cell,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00110035,,,,,,,,,,,,,,,,,
:Category:Larval olfactory receptor neuron Or13a,Larval olfactory receptor neuron Or13a,ORN (Or13a),nlx_148726,,,Embryonic / larval olfactory receptor neuron,:Category:Drosophila,Larval olfactory receptor neuron (ORN) that expresses Or13a (FBgn0030715).,,,:Category:Larval olfactory receptor neuron Or13a,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00100419,,,,,,,,,,,,,,,,,
:Category:Larval olfactory receptor neuron Or1a,Larval olfactory receptor neuron Or1a,ORN (Or1a),nlx_148725,,,Embryonic / larval olfactory receptor neuron,:Category:Drosophila,Larval olfactory receptor neuron (ORN) that expresses Or1a (FBgn0029521).,,,:Category:Larval olfactory receptor neuron Or1a,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00100418,,,,,,,,,,,,,,,,,
:Category:Larval olfactory receptor neuron Or22c,Larval olfactory receptor neuron Or22c,ORN (Or22c),nlx_148727,,,Embryonic / larval olfactory receptor neuron,:Category:Drosophila,Larval olfactory receptor neuron (ORN) that expresses Or22c (FBgn0026396).,,,:Category:Larval olfactory receptor neuron Or22c,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00100420,,,,,,,,,,,,,,,,,
:Category:Larval olfactory receptor neuron Or24a,Larval olfactory receptor neuron Or24a,ORN (Or24a),nlx_148728,,,Embryonic / larval olfactory receptor neuron,:Category:Drosophila,Larval olfactory receptor neuron (ORN) that expresses Or24a (FBgn0026394).,,,:Category:Larval olfactory receptor neuron Or24a,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00100421,,,,,,,,,,,,,,,,,
:Category:Larval olfactory receptor neuron Or30a,Larval olfactory receptor neuron Or30a,ORN (Or30a),nlx_148729,,,Embryonic / larval olfactory receptor neuron,:Category:Drosophila,Larval olfactory receptor neuron (ORN) that expresses Or30a (FBgn0032096).,,,:Category:Larval olfactory receptor neuron Or30a,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00100422,,,,,,,,,,,,,,,,,
:Category:Larval olfactory receptor neuron Or33a,Larval olfactory receptor neuron Or33a,ORN (Or33a),nlx_148730,,,Embryonic / larval olfactory receptor neuron,:Category:Drosophila,Larval olfactory receptor neuron (ORN) that expresses Or33a (FBgn0026392).,,,:Category:Larval olfactory receptor neuron Or33a,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00100423,,,,,,,,,,,,,,,,,
:Category:Larval olfactory receptor neuron Or33b / Or47a,Larval olfactory receptor neuron Or33b / Or47a,ORN (Or33b),nlx_148731,,,Embryonic / larval olfactory receptor neuron,:Category:Drosophila,Larval olfactory receptor neuron (ORN) that expresses Or33b (FBgn0026391) and Or47a (FBgn0026386).,,,:Category:Larval olfactory receptor neuron Or33b / Or47a,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00100424,,,,,,,,,,,,,,,,,
:Category:Larval olfactory receptor neuron Or35a,Larval olfactory receptor neuron Or35a,ORN (Or35a),nlx_148732,,,Embryonic / larval olfactory receptor neuron,:Category:Drosophila,Larval olfactory receptor neuron (ORN) that expresses Or35a (FBgn0028946).,,,:Category:Larval olfactory receptor neuron Or35a,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00100425,,,,,,,,,,,,,,,,,
:Category:Larval olfactory receptor neuron Or42a,Larval olfactory receptor neuron Or42a,ORN (Or42a),nlx_148733,,,Embryonic / larval olfactory receptor neuron,:Category:Drosophila,Larval olfactory receptor neuron (ORN) that expresses Or42a (FBgn0033041).,,,:Category:Larval olfactory receptor neuron Or42a,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00100426,,,,,,,,,,,,,,,,,
:Category:Larval olfactory receptor neuron Or42b,Larval olfactory receptor neuron Or42b,ORN (Or42b),nlx_148734,,,Embryonic / larval olfactory receptor neuron,:Category:Drosophila,Larval olfactory receptor neuron (ORN) that expresses Or42b (FBgn0033043).,,,:Category:Larval olfactory receptor neuron Or42b,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00100427,,,,,,,,,,,,,,,,,
:Category:Larval olfactory receptor neuron Or45a,Larval olfactory receptor neuron Or45a,ORN (Or45a),nlx_148735,,,Embryonic / larval olfactory receptor neuron,:Category:Drosophila,Larval olfactory receptor neuron (ORN) that expresses Or45a (FBgn0033404).,,,:Category:Larval olfactory receptor neuron Or45a,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00100428,,,,,,,,,,,,,,,,,
:Category:Larval olfactory receptor neuron Or45b,Larval olfactory receptor neuron Or45b,ORN (Or45b),nlx_148736,,,Embryonic / larval olfactory receptor neuron,:Category:Drosophila,Larval olfactory receptor neuron (ORN) that expresses Or45b (FBgn0033422).,,,:Category:Larval olfactory receptor neuron Or45b,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00100429,,,,,,,,,,,,,,,,,
:Category:Larval olfactory receptor neuron Or49a,Larval olfactory receptor neuron Or49a,ORN (Or49a),nlx_148737,,,Embryonic / larval olfactory receptor neuron,:Category:Drosophila,Larval olfactory receptor neuron (ORN) that expresses Or49a (FBgn0033727).,,,:Category:Larval olfactory receptor neuron Or49a,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00100431,,,,,,,,,,,,,,,,,
:Category:Larval olfactory receptor neuron Or59a,Larval olfactory receptor neuron Or59a,ORN (Or59a),nlx_148738,,,Embryonic / larval olfactory receptor neuron,:Category:Drosophila,Larval olfactory receptor neuron (ORN) that expresses Or59a (FBgn0026384).,,,:Category:Larval olfactory receptor neuron Or59a,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00100432,,,,,,,,,,,,,,,,,
:Category:Larval olfactory receptor neuron Or63a,Larval olfactory receptor neuron Or63a,ORN (Or63a),nlx_148739,,,Embryonic / larval olfactory receptor neuron,:Category:Drosophila,Larval olfactory receptor neuron (ORN) that expresses Or63a (FBgn0035382).,,,:Category:Larval olfactory receptor neuron Or63a,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00100433,,,,,,,,,,,,,,,,,
:Category:Larval olfactory receptor neuron Or67b,Larval olfactory receptor neuron Or67b,ORN (Or67b),nlx_148740,,,Embryonic / larval olfactory receptor neuron,:Category:Drosophila,Larval olfactory receptor neuron (ORN) that expresses Or67b (FBgn0036019).,,,:Category:Larval olfactory receptor neuron Or67b,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00100434,,,,,,,,,,,,,,,,,
:Category:Larval olfactory receptor neuron Or74a,Larval olfactory receptor neuron Or74a,ORN (Or74a),nlx_148741,,,Embryonic / larval olfactory receptor neuron,:Category:Drosophila,Larval olfactory receptor neuron (ORN) that expresses Or74a (FBgn0036709).,,,:Category:Larval olfactory receptor neuron Or74a,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00100435,,,,,,,,,,,,,,,,,
:Category:Larval olfactory receptor neuron Or82a,Larval olfactory receptor neuron Or82a,ORN (Or82a),nlx_148742,,,Embryonic / larval olfactory receptor neuron,:Category:Drosophila,Larval olfactory receptor neuron (ORN) that expresses Or82a (FBgn0041621).,,,:Category:Larval olfactory receptor neuron Or82a,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00100436,,,,,,,,,,,,,,,,,
:Category:Larval olfactory receptor neuron Or83a,Larval olfactory receptor neuron Or83a,ORN (Or83a),nlx_148743,,,Embryonic / larval olfactory receptor neuron,:Category:Drosophila,Larval olfactory receptor neuron (ORN) that expresses Or83a (FBgn0037322).,,,:Category:Larval olfactory receptor neuron Or83a,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00100437,,,,,,,,,,,,,,,,,
:Category:Larval olfactory receptor neuron Or85c,Larval olfactory receptor neuron Or85c,ORN (Or85c),nlx_148744,,,Embryonic / larval olfactory receptor neuron,:Category:Drosophila,Larval olfactory receptor neuron (ORN) that expresses Or85c (FBgn0037591).,,,:Category:Larval olfactory receptor neuron Or85c,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00100438,,,,,,,,,,,,,,,,,
:Category:Larval olfactory receptor neuron Or94b,Larval olfactory receptor neuron Or94b,ORN (Or94b),nlx_148745,,,Embryonic / larval olfactory receptor neuron,:Category:Drosophila,Larval olfactory receptor neuron (ORN) that expresses Or94b (FBgn0039034).,,,:Category:Larval olfactory receptor neuron Or94b,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00100439,,,,,,,,,,,,,,,,,
:Category:Larval pacemaker neuron,Larval pacemaker neuron,,nlx_148514,,,Pacemaker neuron,:Category:Drosophila,Pacemaker neuron that is part of the larval nervous system.,,,:Category:Larval pacemaker neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00100164,,,,,,,,,,,,,,,,,
:Category:Lateral fan-shaped neuron ExFl1,Lateral fan-shaped neuron ExFl1,,nlx_148209,,,Lateral fan-shaped neuron Fl,:Category:Drosophila,"Extrinsic lateral fan-shaped neuron that projects posteriorly, arborizing in the middle inferior medial protocerebrum and lateral accessory lobe (ventral body), before projecting across the midline to circle around the contralateral side of the ellipsoid body, and innervates the fan-shaped body. Innervation of the lateral accessory lobes is presynaptic, whilst that of the fan-shaped body is postsynaptic. The cell bodies of neurons in this class cluster in the cortex dorsal to the antennal lobes.",,,:Category:Lateral fan-shaped neuron ExFl1,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00007534,,,,,,,,,,,,,,,,,
:Category:Lateral fan-shaped neuron FE1,Lateral fan-shaped neuron FE1,,nlx_148208,,,Lateral fan-shaped neuron Fl,:Category:Drosophila,Lateral fan-shaped neuron that connects the fan-shaped body and the ellipsoid body.,,,:Category:Lateral fan-shaped neuron FE1,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00007533,,,,,,,,,,,,,,,,,
:Category:Lateral fan-shaped neuron Fl,Lateral fan-shaped neuron Fl,,nlx_147393,,,Fan-shaped neuron,:Category:Drosophila,Fan-shaped neuron with a fiber that reaches the fan-shaped body laterally and that extends along its anterior surface.,,,:Category:Lateral fan-shaped neuron Fl,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00003659,,,,,,,,,,,,,,,,,
:Category:Lateral fan-shaped neuron Fl1,Lateral fan-shaped neuron Fl1,,nlx_148204,,,Lateral fan-shaped neuron Fl,:Category:Drosophila,0,,,:Category:Lateral fan-shaped neuron Fl1,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00007529,,,,,,,,,,,,,,,,,
:Category:Lateral fan-shaped neuron Fl2,Lateral fan-shaped neuron Fl2,,nlx_148205,,,Lateral fan-shaped neuron Fl,:Category:Drosophila,0,,,:Category:Lateral fan-shaped neuron Fl2,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00007530,,,,,,,,,,,,,,,,,
:Category:Lateral fan-shaped neuron Fl3,Lateral fan-shaped neuron Fl3,,nlx_148206,,,Lateral fan-shaped neuron Fl,:Category:Drosophila,0,,,:Category:Lateral fan-shaped neuron Fl3,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00007531,,,,,,,,,,,,,,,,,
:Category:Lateral fan-shaped neuron Fl4,Lateral fan-shaped neuron Fl4,,nlx_148207,,,Lateral fan-shaped neuron Fl,:Category:Drosophila,0,,,:Category:Lateral fan-shaped neuron Fl4,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00007532,,,,,,,,,,,,,,,,,
:Category:Lch1 neuron,Lch1 neuron,,nlx_148449,,,Posterior fascicle sensory neuron,:Category:Drosophila,,,,:Category:Lch1 neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00100032,,,,,,,,,,,,,,,,,
:Category:Lch3 neuron,Lch3 neuron,,nlx_146738,,,Scolopidial neuron,:Category:Drosophila,Scolopidial neuron of laterally located triscolopidial chordotonal organ lch3.,,,:Category:Lch3 neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00002018,,,,,,,,,,,,,,,,,
:Category:Les4 neuron,Les4 neuron,,nlx_146737,,,Anterior fascicle sensory neuron,:Category:Drosophila,,,,:Category:Les4 neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00002017,Intersegmental nerve,,,,,,,,,,,,,,,,
:Category:LesA neuron,LesA neuron,,nlx_146732,,,Anterior fascicle sensory neuron,:Category:Drosophila,"Sensory neuron of the peripheral nervous system that innervates a lateral external sense (les) organ of the abdominal, mesothoracic, metathoracic or prothoracic segment of the embryo / larva.",,,:Category:LesA neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00002012,Intersegmental nerve,,,,,,,,,,,,,,,,
:Category:LesB neuron,LesB neuron,,nlx_146733,,,Anterior fascicle sensory neuron,:Category:Drosophila,"Sensory neuron of the peripheral nervous system that innervates a lateral external sense (les) organ of the abdominal, mesothoracic, metathoracic or prothoracic segment of the embryo / larva.",,,:Category:LesB neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00002013,Intersegmental nerve,,,,,,,,,,,,,,,,
:Category:LesC neuron,LesC neuron,,nlx_146734,,,Anterior fascicle sensory neuron,:Category:Drosophila,"Sensory neuron of the peripheral nervous system that innervates a lateral external sense (les) organ of the abdominal, mesothoracic, metathoracic or prothoracic segment of the embryo / larva.",,,:Category:LesC neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00002014,Intersegmental nerve,,,,,,,,,,,,,,,,
:Category:LesD neuron,LesD neuron,,nlx_146735,,,Anterior fascicle sensory neuron,:Category:Drosophila,Sensory neuron of the peripheral nervous system that innervates a lateral external sense (les) organ of the prothoracic segment of the embryo / larva.,,,:Category:LesD neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00002015,Intersegmental nerve,,,,,,,,,,,,,,,,
:Category:Leucokinin neuron,Leucokinin neuron,LK neuron,nlx_148992,,,Neurosecretory neuron,:Category:Drosophila,Neuron that expresses leucokinin (FBgn0028418).,,,:Category:Leucokinin neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00110031,,,,,,,,,,,,,,,,,
:Category:Local interneuron of adult antennal lobe,Local interneuron of adult antennal lobe,LI,nlx_148095,,,Intrinsic neuron (FBbt Term),:Category:Drosophila,A local interneuron that is part of an adult antennal lobe.,,,:Category:Local interneuron of adult antennal lobe,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00007390,,,,,,,,,,,,,,,,,
:Category:Locus coeruleus NA neuron,Locus coeruleus NA neuron,Locus coeruleus noradrenergic neuron,nlx_cell_20090202,,,Neuron,:Category:Vertebrata,,,:Category:Principal neuron role,,,,,,,:Category:Locus ceruleus,,,,,,,,,,,,"ilx:has_location_phenotype UBERON:0002148 , ilx:has_circuit_role_phenotype principal . Ilx:has_neurotransmitter_phenotype norepinephrine",
:Category:Mauthner cell,Mauthner cell,M-cell,nlx_151908,,,Neuron,:Category:Vertebrata,Giant reticulospinal neuron found in  brainstem of most teleosts,,:Category:Principal neuron role,,M-cell,,,Category:Oval ,Large soma,:Category:Brainstem,:Category:Smooth,":Category:Two primary dendrites,:Category:One that projects laterally towards the roots of the VIIIth cranial nerve and is named the lateral dendrite,:Category:And another which projects rostrally and ventrally and is called the ventral dendrite.",multipolar,myelinated,contralateral,:Category:Axon descends in the medial lateral fasciculus and projects to caudal brainstem and all spinal segments,:Category:None,soma,,":Category:Mauthner cell-specific antibody,:Category:Calcium calmodulin protein kinase II,:Category:Zona occludens 1,:Category:Connexin 35",,"ilx:has_location_phenotype UBERON:0002298 , ilx:has_morphological_phenotype Mauthner , ilx:has_circuit_role_phenotype principal","Mauthner isn’t morphological, but it’s name that we agreed to put under morphological for now "
:Category:Mechanosensory neuron,Mechanosensory neuron,,nlx_147906,,,Sensory neuron (FBbt Term),:Category:Drosophila,Any neuron (FBbt_00005106) that functions in (some) detection of mechanical stimulus involved in sensory perception (GO:0050974).,,,:Category:Mechanosensory neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00005919,,,,,,,,,,,,,,,,,
:Category:Mechanosensory neuron of adult labial sensillum 1,Mechanosensory neuron of adult labial sensillum 1,,nlx_148455,,,Mechanosensory neuron,:Category:Drosophila,"Mechanosensory neuron innervating the adult labial sensillum 1 (Nayak and Singh, 1983).",,,:Category:Mechanosensory neuron of adult labial sensillum 1,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00100088,Accessory pharyngeal nerve,,,,,,,,,,,,,,,,
:Category:Mechanosensory neuron of adult labial sensillum 2,Mechanosensory neuron of adult labial sensillum 2,,nlx_148456,,,Mechanosensory neuron,:Category:Drosophila,"Mechanosensory neuron innervating the adult labial sensillum 2 (Nayak and Singh, 1983).",,,:Category:Mechanosensory neuron of adult labial sensillum 2,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00100089,Accessory pharyngeal nerve,,,,,,,,,,,,,,,,
:Category:Mechanosensory neuron of adult labial sensillum 3,Mechanosensory neuron of adult labial sensillum 3,,nlx_148457,,,Mechanosensory neuron,:Category:Drosophila,"Mechanosensory neuron innervating the adult labial sensillum 3 (Nayak and Singh, 1983).",,,:Category:Mechanosensory neuron of adult labial sensillum 3,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00100090,Accessory pharyngeal nerve,,,,,,,,,,,,,,,,
:Category:Mechanosensory neuron of adult labial sensillum 4,Mechanosensory neuron of adult labial sensillum 4,,nlx_148458,,,Mechanosensory neuron,:Category:Drosophila,"Mechanosensory neuron innervating the adult labial sensillum 4 (Nayak and Singh, 1983).",,,:Category:Mechanosensory neuron of adult labial sensillum 4,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00100091,Accessory pharyngeal nerve,,,,,,,,,,,,,,,,
:Category:Mechanosensory neuron of adult labial sensillum 5,Mechanosensory neuron of adult labial sensillum 5,,nlx_148459,,,Mechanosensory neuron,:Category:Drosophila,"Mechanosensory neuron innervating the adult labial sensillum 5 (Nayak and Singh, 1983).",,,:Category:Mechanosensory neuron of adult labial sensillum 5,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00100092,Accessory pharyngeal nerve,,,,,,,,,,,,,,,,
:Category:Mechanosensory neuron of adult labial sensillum 6,Mechanosensory neuron of adult labial sensillum 6,,nlx_148460,,,Mechanosensory neuron,:Category:Drosophila,"Mechanosensory neuron innervating the adult labial sensillum 6 (Nayak and Singh, 1983).",,,:Category:Mechanosensory neuron of adult labial sensillum 6,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00100093,Accessory pharyngeal nerve,,,,,,,,,,,,,,,,
:Category:Mechanosensory neuron of adult labial sensillum 8,Mechanosensory neuron of adult labial sensillum 8,,nlx_148463,,,Mechanosensory neuron,:Category:Drosophila,"Mechanosensory neuron innervating the adult labial sensillum 8 (Nayak and Singh, 1983).",,,:Category:Mechanosensory neuron of adult labial sensillum 8,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00100096,Accessory pharyngeal nerve,,,,,,,,,,,,,,,,
:Category:Mechanosensory neuron of adult labial sensillum 9,Mechanosensory neuron of adult labial sensillum 9,,nlx_148461,,,Mechanosensory neuron,:Category:Drosophila,"Mechanosensory neuron innervating the adult labial sensillum 9 (Nayak and Singh, 1983).",,,:Category:Mechanosensory neuron of adult labial sensillum 9,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00100094,Accessory pharyngeal nerve,,,,,,,,,,,,,,,,
:Category:Median fan-shaped neuron Fm,Median fan-shaped neuron Fm,Fm1,nlx_147392,,,Fan-shaped neuron F2,:Category:Drosophila,Fan-shaped neuron that projects through the ellipsoid body canal via the median bundle to arborize with bleb-like terminals in the second layer of the fan-shaped body.,,,:Category:Median fan-shaped neuron Fm,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00003658,Median bundle,,,,,,,,,,,,,,,,
:Category:Median fan-shaped neuron Fm1,Median fan-shaped neuron Fm1,,nlx_148186,,,Median fan-shaped neuron Fm,:Category:Drosophila,Median fan-shaped neuron Fm whose perikarya lie in a dorso-caudal cluster near to the mushroom body calyx and have a domain of spiny fibers in the dorso-lateral protocerebrum.,,,:Category:Median fan-shaped neuron Fm1,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00007509,Median bundle,,,,,,,,,,,,,,,,
:Category:Median fan-shaped neuron Fm2,Median fan-shaped neuron Fm2,,nlx_148187,,,Median fan-shaped neuron Fm,:Category:Drosophila,Median fan-shaped neuron Fm whose perikarya lie close to those of the R neurons (FBbt_00007507) whose projections they fasciculate with in the RF tract. They have spiny arborizations in the ipsilateral lateral accessory lobe (ventral body).,,,:Category:Median fan-shaped neuron Fm2,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00007510,"RF tract,Median bundle",,,,,,,,,,,,,,,,
:Category:Median fan-shaped neuron Fm3,Median fan-shaped neuron Fm3,,nlx_148188,,,Median fan-shaped neuron Fm,:Category:Drosophila,Median fan-shaped neuron Fm whose perikarya lie in a dorso-caudal cluster near to the mushroom body calyx and have a domain of spiny fibers in the dorso-medial protocerebrum.,,,:Category:Median fan-shaped neuron Fm3,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00007511,Median bundle,,,,,,,,,,,,,,,,
:Category:Medullary collateral inhibitory neuron,Medullary collateral inhibitory neuron,,nlx_152082,,,Neuron,:Category:Vertebrata,,,,,,,,,,,,,,,,,,,,,,"ilx:has_location_phenotype medulla , ilx:has_projection_phenotype collateral , ilx:has_circuit_role inhibitory ",look into collateral/commissural more
:Category:Medullary commissural inhibitory neuron,Medullary commissural inhibitory neuron,,nlx_152083,,,Neuron,:Category:Vertebrata,,,,,,,,,,,,,,,,,,,,,,"ilx:has_location_phenotype medulla , ilx:has_projection_phenotype commissural , ilx:has_circuit_role inhibitory ",look into collateral/commissural more
:Category:Mesothoracic anterior fascicle neuron,Mesothoracic anterior fascicle neuron,,nlx_146820,,,Neuron,:Category:Drosophila,Any neuron (FBbt_00005106) that fasciculates with some mesothoracic intersegmental nerve (FBbt_00002104).,,,:Category:Mesothoracic anterior fascicle neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00002105,Mesothoracic intersegmental nerve,,,,,,,,,,,,,,,,
:Category:Mesothoracic posterior fascicle neuron,Mesothoracic posterior fascicle neuron,,nlx_146841,,,Neuron,:Category:Drosophila,Any neuron (FBbt_00005106) that fasciculates with some mesothoracic segmental nerve (FBbt_00002125).,,,:Category:Mesothoracic posterior fascicle neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00002126,Mesothoracic segmental nerve,,,,,,,,,,,,,,,,
:Category:Mesothoracic ventral neurosecretory neuron,Mesothoracic ventral neurosecretory neuron,,nlx_147774,,,Neurosecretory neuron,:Category:Drosophila,0,,,:Category:Mesothoracic ventral neurosecretory neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00004064,,,,,,,,,,,,,,,,,
:Category:Metathoracic anterior fascicle neuron,Metathoracic anterior fascicle neuron,,nlx_146858,,,Neuron,:Category:Drosophila,Any neuron (FBbt_00005106) that fasciculates with some metathoracic intersegmental nerve (FBbt_00002142).,,,:Category:Metathoracic anterior fascicle neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00002143,Metathoracic intersegmental nerve,,,,,,,,,,,,,,,,
:Category:Metathoracic posterior fascicle neuron,Metathoracic posterior fascicle neuron,,nlx_146879,,,Neuron,:Category:Drosophila,Any neuron (FBbt_00005106) that fasciculates with some metathoracic segmental nerve (FBbt_00002163).,,,:Category:Metathoracic posterior fascicle neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00002164,Metathoracic segmental nerve,,,,,,,,,,,,,,,,
:Category:Metathoracic ventral thoracic neurosecretory neuron,Metathoracic ventral thoracic neurosecretory neuron,,nlx_147793,,,Neurosecretory neuron,:Category:Drosophila,0,,,:Category:Metathoracic ventral thoracic neurosecretory neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00004093,,,,,,,,,,,,,,,,,
:Category:Midline neuron,Midline neuron,,nlx_148280,,,Neuron,:Category:Drosophila,0,,,:Category:Midline neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00016016,,,,,,,,,,,,,,,,,
:Category:Motor neuron (FBbt Term),Motor neuron (FBbt Term),,nlx_147828,,,Neuron,:Category:Drosophila,A neuron that sends movement impulses to the muscle system.,,,:Category:Motor neuron (FBbt Term),,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00005123,,,,,,,,,,,,,,,,,
