,Synonym,Label,Id,Definition,ExternallySourcedDefinition,Comment,Synonym,Species,PartiallyOverlapsWith,Is part of,Has role,RelatedTo,Category,SuperCategory
:Category:Opercular part of inferior frontal gyrus,,Opercular part of inferior frontal gyrus,birnlex_823,Component of the inferior frontal gyrus.defined as the first gyrus from the precentral gyrus.,,,pars opercularis gyri frontalis inferioris,,,:Category:Inferior frontal gyrus,,,:Category:Regional part of brain,Regional part of brain
:Category:Optic chiasm,,Optic chiasm,birnlex_1416,A location within the visual system of binocular animals where axons of retinal ganglion cells cross contralaterally or remain ipsilatterally towards termination zones in the lateral geniculate nucleus.,,,,:Category:Mammal,,":Category:Diencephalon,:Category:Optic nerve,:Category:Visual system",:Category:Visual system function,,:Category:Regional part of brain,Regional part of brain
:Category:Optic recess of third ventricle,,Optic recess of third ventricle,nlx_144280,Recess in third ventricle lying in front of the optic chiasm at the base of the lamina terminalis,,,"preoptic recess,supraoptic recess,Recessus opticus,Recessus praeopticus,Recessus supraopticus",,,:Category:Third ventricle,,,:Category:Regional part of brain,Regional part of brain
:Category:Optic tract,,Optic tract,birnlex_1684,"Predominantly white matter structure found in diencephalon consisting of fibers originating in the retina.  The optic tract is considered to extend from the point of the optic chiasm and terminates largely, although not exclusively, in the lateral geniculate complex.  Other fibers end in the superior colliculus and other structures in the diencephalon, midbrain and brainstem (MM).",,,,,,":Category:Diencephalon,:Category:White matter",:Category:Visual System,,:Category:Nerve tract,Nerve tract
:Category:Oral part of spinal trigeminal nucleus,,Oral part of spinal trigeminal nucleus,birnlex_1100,,,,,,,:Category:Spinal trigeminal nucleus,,,:Category:Regional part of brain,Regional part of brain
:Category:Oral part of ventral lateral nucleus,,Oral part of ventral lateral nucleus,birnlex_817,,,,"ventral lateral nucleus,pars oralis,nucleus lateralis oralis situs principalis,ventral lateral thalamic nucleus,nucleus ventralis lateralis,oral part,nucleus ventrooralis externus,ventral lateral anterior nucleus,anterior part (Van Buren),subnucleus rostralis",,,:Category:Ventral lateral nucleus,,,:Category:Regional part of brain,Regional part of brain
:Category:Oral part of ventral posterolateral nucleus,,Oral part of ventral posterolateral nucleus,birnlex_918,,,,"ventral posterolateral nucleus,nucleus ventrointermedius,nucleus ventralis posterior lateralis,nucleus lateralis intermedius lateralis,ventral posterolateral thalamic nucleus,nucleus ventralis intermedius thalami,pars oralis,nucleus ventralis intermedius (DeWulf),oral part,nucleus ventralis intermedius (Walker),nucleus posteroventralis oralis",,,:Category:Ventral posterolateral nucleus,,,:Category:Regional part of brain,Regional part of brain
:Category:Oral pontine reticular nucleus,,Oral pontine reticular nucleus,birnlex_875,,,,,,,:Category:Pontine reticular formation,,,:Category:Regional part of brain,Regional part of brain
:Category:Oral pulvinar nucleus,,Oral pulvinar nucleus,birnlex_1239,,,,"anterior pulvinar nucleus,oral part of pulvinar,oral portion of pulvinar,oral nuclear group of pulvinar,nucleus pulvinaris oralis,nucleus pulvinaris oralis thalami",,,:Category:Pulvinar,,,:Category:Regional part of brain,Regional part of brain
:Category:Orbital frontal cortex,,Orbital frontal cortex,birnlex_1049,"Component of the prefontal cortex, frontal lobe, inferior region (Christine Fennema-Notestine).",,,orbitofrontal cortex,:Category:Human,,:Category:Frontal lobe,,,:Category:Regional part of brain,Regional part of brain
:Category:Orbital gyri complex,,Orbital gyri complex,birnlex_1223,,,,Orgital_gyri,,,:Category:Frontal lobe,,,:Category:Regional part of brain,Regional part of brain
:Category:Orbital part of inferior frontal gyrus,,Orbital part of inferior frontal gyrus,birnlex_1207,"Component of the inferior frontal gyrus.defined as the first gyrus from the precentral gyrus.the remainder of the inferior frontal gyrus once the pars opercularis and triangularis have been defined (Christine Fennema-Notestine)., NeuroNames",,,pars orbitalis gyri frontalis inferioris,,,:Category:Inferior frontal gyrus,,,:Category:Regional part of brain,Regional part of brain
:Category:Orbital sulcus,,Orbital sulcus,birnlex_1112,,,,"Cruciate sulcus of Campbell,Sulcus orbitalis",,,:Category:Frontal lobe,,,:Category:Sulcus,Sulcus
:Category:Organum vasculosum lamina terminalis,,Organum vasculosum lamina terminalis,nlx_anat_100313,circumventricular organ that forms the ventral part of the midline anterior wall of the third ventricle,,,"supraoptic crest,vascular organ of the lamina terminalis,medial prechiasmatic gland,optic recess organ",:Category:Mammal,,":Category:Anterior hypothalamic region,:Category:Basal forebrain",,,:Category:Circumventricular organ,Circumventricular organ
:Category:Outer granular layer of cerebellar cortex,,Outer granular layer of cerebellar cortex,birnlex_797,,,,,,,:Category:Granular layer of cerebellar cortex,,,:Category:Cell layer,Cell layer
:Category:Paleocortex,,Paleocortex,nlx_143559,"Part of the allocortex defined on the basis of cytoarchitecture. The other two are archicortex and periallocortex. It consists of very thin, primitive cortex with few clearly defined layers. It is distinguished ontogenetically by the fact that it does not develop through a cortical plate. It includes the olfactory bulb, accessory olfactory bulb, olfactory tubercle, septum, prepyriform area and periamygdalar area ( Stephan-1975 ). (adapted from Brain Info)",,,,,,:Category:Allocortex,,,:Category:Regional part of brain,Regional part of brain
:Category:Paleodentate of dentate nucleus,,Paleodentate of dentate nucleus,birnlex_1490,,,,,,,:Category:Dentate nucleus,,,:Category:Regional part of brain,Regional part of brain
:Category:Pallidotegmental fasciculus,,Pallidotegmental fasciculus,birnlex_1331,,,,,,,":Category:Midbrain tegmentum,:Category:White matter",,,:Category:Regional part of brain,Regional part of brain
:Category:Pallium,,Pallium,nlx_158478,"The commonly used synonym of the cerebral cortex. Used first by Burdach for macrodissected adult humans (1822), and by many others since, including His (1895), and Nauta & Feirtag (1986). In Latin pallium means a mantle, cloak, or blanket",,,Cerebral Cortex,,,,,,:Category:Regional part of brain,Regional part of brain
:Category:Parabigeminal nucleus,,Parabigeminal nucleus,birnlex_1007,"Cholinergic cell group that is located ventral to the brachium of the inferior colliculus (in rat) and has reciprocal connectivity with the superior colliculus (Adapted from Paxinos, The rat central nervous system, 2nd ed, 1995, pg 865",,,"Nucleus parabigeminous,Ch8 cell group",:Category:Mammal,,:Category:Midbrain tectum,,,:Category:Regional part of brain,Regional part of brain
:Category:Parabrachial nucleus,,Parabrachial nucleus,nlx_23647,,,,,,,":Category:Pontine tegmentum,:Category:Central autonomic network",,,:Category:Regional part of brain,Regional part of brain
:Category:Parabrachial pigmented nucleus,,Parabrachial pigmented nucleus,nlx_144307,"Nucleus identified in the medial ventral tegmental area that borders the red nucleus and superior cerebellar peduncle dorsally, the medial lemniscus laterally, the subtantia nigra pars compacta and paranigral nucleus ventrally and the rostral linear nucleus and interfascicular nucleus medially.  Generally, the largest nucleus in the ventral tegmental area, occupying an average of 50% of the total volume as measured in rat, cat, monkey and human.",,,,:Category:Mammal,,:Category:Ventral tegmental area,,,:Category:Regional part of brain,Regional part of brain
:Category:Paracentral nucleus,,Paracentral nucleus,birnlex_981,,,,"paracentral nucleus thalamus (Gurdjian 1927),paracentral thalamic nucleus,nucleus paracentral thalami,paracentral nucleus of thalamus,nucleus paracentral,nucleus centralis lateralis superior (Kusama,nucleus paracentralis",,,:Category:Rostral intralaminar nuclei,,,:Category:Nucleus of CNS,Nucleus of CNS
:Category:Paracentral sulcus,,Paracentral sulcus,birnlex_1121,Component of the frontal lobe.  The rostral boundary of the paracentral lobule is the posterior extent of the superior frontal gyrus whereas the caudal boundary is the rostral extent of the precuneus cortex. The medial and lateral boundaries are the medial aspect of the cortex and the superior frontal gyrus (or pre- and postcentral gyri when visible) respectively (Christine Fennema-Notestine).,,,Sulcus subcentralis medialis,:Category:Human,,:Category:Frontal lobe,,,:Category:Sulcus,Sulcus
:Category:Parafascicular nucleus,,Parafascicular nucleus,birnlex_952,,,,"parafascicular nucleus (Vogt),nucleus parafascicularis (Hassler),parafascicular thalamic nucleus,parafascicular nucleus of the thalamus,nucleus parafascicularis thalami,nuclei parafasciculares thalami,nucleus parafascicularis",,,:Category:Intralaminar nuclear group,,,:Category:Nucleus of CNS,Nucleus of CNS
:Category:Parahippocampal area,,Parahippocampal area,nlx_144076,,,,Region of the piriform lobe that includes the entorhinal cortex,:Category:Mammal,,:Category:Cerebral cortex,,,:Category:Regional part of brain,Regional part of brain
:Category:Parahippocampal gyrus,,Parahippocampal gyrus,birnlex_807,"Component of the temporal lobe on the mesial surface, posterior to the entorhinal cortex. The rostral and caudal boundaries are the posterior end of the netorhinal cortex and the caudal portion of the hippocampus, respectively.  The medial boudnary is designated as the medial aspect off the temporal lobe and the lateral boundary is the collateral sulcus (Christine Fennema-Notestine).",,,hippocampal gyrus,,,:Category:Limbic lobe,,,:Category:Regional part of brain,Regional part of brain
:Category:Paralaminar part of medial dorsal nucleus,,Paralaminar part of medial dorsal nucleus,birnlex_1276,,,,"pars multiformis,nucleus medialis dorsalis,nucleus medialis dorsalis thalami,paralaminar part of dorsomedial nucleus,nucleus medialis dorsalis caudalis (Hassler),pars paralaminaris,mediodorsal thalamic nucleus,paralaminar part,ventral mediodorsal nucleus,paralaminar part of medial dorsal nucleus",,,:Category:Medial dorsal nucleus,,,:Category:Regional part of brain,Regional part of brain
:Category:Paramedian reticular nucleus,,Paramedian reticular nucleus,nlx_151902,,,,,,,:Category:Medullary reticular formation,:Category:Precerebellar nucleus,,:Category:Regional part of brain,Regional part of brain
:Category:Parasolitary nucleus,,Parasolitary nucleus,birnlex_2653,,,,"nucleus juxtasolitarius,nucleus fasciculus solitarius",,,:Category:Medulla oblongata,,,:Category:Regional part of brain,Regional part of brain
:Category:Parasubiculum,,Parasubiculum,nlx_anat_091002,"A transitional zone between the presubiculum and the entorhinal area in the mouse (Paxinos-2001), the rat (Swanson-1998) and the primate (Zilles-1990). Defined on the basis of cytoarchitecture, it is more similar to the presubiculum than to the entorhinal area (Zilles-1990). (from Brain Info)",,,parasubicular area,:Category:Mammal,,:Category:Hippocampal formation,,,:Category:Regional part of brain,Regional part of brain
:Category:Paratenial nucleus,,Paratenial nucleus,birnlex_860,,,,"Paratenial thalamic nucleus,parataenial nucleus",,,:Category:Midline nuclear group,,,:Category:Regional part of brain,Regional part of brain
:Category:Paraterminal gyrus,,Paraterminal gyrus,birnlex_1138,,,,,,,:Category:Limbic lobe,,,:Category:Regional part of brain,Regional part of brain
:Category:Paraventricular hypothalamic region,,Paraventricular hypothalamic region,nlx_144080,,,,Paraventricular Hypothalamus,,,:Category:Hypothalamus,,,:Category:Regional part of brain,Regional part of brain
:Category:Paraventricular nucleus of hypothalamus,,Paraventricular nucleus of hypothalamus,birnlex_1407,"Nucleus in the anterior part of the hypothalamus. (MSH) * one of the magnocellular hypothalamic nuclei, an elongated plate of large, deeply staining cells located close to the third ventricle in the anterior hypothalamic area; major source of oxytocin and to a lesser extent, of antidiuretic hormone, neurohormones, which are carried to the neurohypophysis along the paraventriculohypophysial tract. (CSP)","* Nucleus in the anterior part of the hypothalamus. (MSH) * one of the magnocellular hypothalamic nuclei, an elongated plate of large, deeply staining cells located close to the third ventricle in the anterior hypothalamic area; major source of oxytocin and to a lesser extent, of antidiuretic hormone, neurohormones, which are carried to the neurohypophysis along the paraventriculohypophysial tract. (CSP)",,,,,:Category:Anterior hypothalamic region,,,:Category:Nucleus of CNS,Nucleus of CNS
:Category:Paraventricular nucleus of thalamus,,Paraventricular nucleus of thalamus,birnlex_764,,,,Paraventricular thalamic nucleus,,,:Category:Midline nuclear group,,,:Category:Regional part of brain,Regional part of brain
:Category:Paraventricular nucleus of the hypothalamus descending division,,Paraventricular nucleus of the hypothalamus descending division,birnlex_1413,,,,,,,:Category:Anterior hypothalamic region,,,:Category:Regional part of brain,Regional part of brain
:Category:Paraventricular nucleus of the hypothalamus descending division - forniceal part,,Paraventricular nucleus of the hypothalamus descending division - forniceal part,birnlex_1374,,,,,,,:Category:Paraventricular nucleus of the hypothalamus descending division,,,:Category:Regional part of brain,Regional part of brain
:Category:Paraventricular nucleus of the hypothalamus descending division - lateral parvicellular part,,Paraventricular nucleus of the hypothalamus descending division - lateral parvicellular part,birnlex_1354,,,,,,,:Category:Paraventricular nucleus of the hypothalamus descending division,,,:Category:Regional part of brain,Regional part of brain
":Category:Paraventricular nucleus of the hypothalamus descending division - medial parvicellular part, ventral zone",,"Paraventricular nucleus of the hypothalamus descending division - medial parvicellular part, ventral zone",birnlex_1342,,,,,,,:Category:Paraventricular nucleus of the hypothalamus descending division,,,:Category:Regional part of brain,Regional part of brain
:Category:Paraventricular nucleus of the hypothalamus magnocellular division,,Paraventricular nucleus of the hypothalamus magnocellular division,birnlex_1419,,,,,,,:Category:Paraventricular nucleus of hypothalamus,,,:Category:Regional part of brain,Regional part of brain
:Category:Paraventricular nucleus of the hypothalamus magnocellular division - anterior magnocellular part,,Paraventricular nucleus of the hypothalamus magnocellular division - anterior magnocellular part,birnlex_1384,,,,,,,:Category:Paraventricular nucleus of the hypothalamus magnocellular division,,,:Category:Regional part of brain,Regional part of brain
:Category:Paraventricular nucleus of the hypothalamus magnocellular division - medial magnocellular part,,Paraventricular nucleus of the hypothalamus magnocellular division - medial magnocellular part,birnlex_1388,,,,,,,:Category:Paraventricular nucleus of the hypothalamus magnocellular division,,,:Category:Regional part of brain,Regional part of brain
:Category:Paraventricular nucleus of the hypothalamus magnocellular division - posterior magnocellular part,,Paraventricular nucleus of the hypothalamus magnocellular division - posterior magnocellular part,birnlex_1394,,,,,,,:Category:Paraventricular nucleus of the hypothalamus magnocellular division,,,:Category:Regional part of brain,Regional part of brain
:Category:Paraventricular nucleus of the hypothalamus magnocellular division - posterior magnocellular part lateral zone,,Paraventricular nucleus of the hypothalamus magnocellular division - posterior magnocellular part lateral zone,birnlex_1320,,,,,,,:Category:Paraventricular nucleus of the hypothalamus magnocellular division - posterior magnocellular part,,,:Category:Regional part of brain,Regional part of brain
:Category:Paraventricular nucleus of the hypothalamus magnocellular division - posterior magnocellular part medial zone,,Paraventricular nucleus of the hypothalamus magnocellular division - posterior magnocellular part medial zone,birnlex_1312,,,,,,,:Category:Paraventricular nucleus of the hypothalamus magnocellular division - posterior magnocellular part,,,:Category:Regional part of brain,Regional part of brain
:Category:Paraventricular nucleus of the hypothalamus parvicellular division,,Paraventricular nucleus of the hypothalamus parvicellular division,birnlex_1426,,,,,,,:Category:Paraventricular nucleus of hypothalamus,,,:Category:Regional part of brain,Regional part of brain
:Category:Paravermic Lobule II,,Paravermic Lobule II,nlx_anat_20081215,,,,,,,,,,:Category:Regional Parts of the Paravermal Lobules,Regional Parts of the Paravermal Lobules
:Category:Paravermic Lobule III,,Paravermic Lobule III,nlx_anat_20081216,,,,,,,,,,:Category:Regional Parts of the Paravermal Lobules,Regional Parts of the Paravermal Lobules
:Category:Paravermic Lobule IV,,Paravermic Lobule IV,nlx_anat_20081217,,,,,,,,,,:Category:Regional Parts of the Paravermal Lobules,Regional Parts of the Paravermal Lobules
:Category:Paravermic Lobule IX,,Paravermic Lobule IX,nlx_anat_20081218,,,,,,,,,,:Category:Regional Parts of the Paravermal Lobules,Regional Parts of the Paravermal Lobules
:Category:Paravermic Lobule V,,Paravermic Lobule V,nlx_anat_20081219,,,,,,,,,,:Category:Regional Parts of the Paravermal Lobules,Regional Parts of the Paravermal Lobules
:Category:Paravermic Lobule VI,,Paravermic Lobule VI,nlx_anat_20081220,,,,,,,,,,:Category:Regional Parts of the Paravermal Lobules,Regional Parts of the Paravermal Lobules
:Category:Paravermic Lobule VII,,Paravermic Lobule VII,nlx_anat_20081221,,,,,,,,,,:Category:Regional Parts of the Paravermal Lobules,Regional Parts of the Paravermal Lobules
:Category:Paravermic Lobule VIII,,Paravermic Lobule VIII,nlx_anat_20081222,,,,,,,,,,:Category:Regional Parts of the Paravermal Lobules,Regional Parts of the Paravermal Lobules
:Category:Paravermis of the anterior lobe of the cerebellum,,Paravermis of the anterior lobe of the cerebellum,nlx_anat_20081239,,,,,,,,,,:Category:Paravermis parts of the cerebellar cortex,Paravermis parts of the cerebellar cortex
:Category:Paravermis of the posterior lobe of the cerebellum,,Paravermis of the posterior lobe of the cerebellum,nlx_anat_20081238,,,,,,,,,,:Category:Paravermis parts of the cerebellar cortex,Paravermis parts of the cerebellar cortex
:Category:Paravermis parts of the cerebellar cortex,,Paravermis parts of the cerebellar cortex,nlx_anat_20081237,,,,,,,,,,:Category:Regional part of a lobe of the cerebellum,Regional part of a lobe of the cerebellum
:Category:Parencephalon,,Parencephalon,nlx_158506,"Synonym for thalamus (Nebenhirn in German, originally; His, 1893).",,,Thalamus,,,,,,:Category:Regional part of brain,Regional part of brain
:Category:Parietal cortex,,Parietal cortex,nlx_79282,"Gray matter of the parietal region of the neocortex, located in the parietal lobe of gyrencephalic animals.  It is continuous anteriorly with the frontal cortex, posteriorly with the occipital cortex and medially with the insular cortex and with the temporal cortex on the posterior/inferior border.",,,,,,":Category:Neocortex,:Category:Parietal lobe",,,:Category:Regional part of brain,Regional part of brain
:Category:Parietal lobe,,Parietal lobe,birnlex_1148,Upper central part of the cerebral hemisphere. (MSH),Upper central part of the cerebral hemisphere. (MSH),,,,,,,,:Category:Lobe of cerebral cortex,Lobe of cerebral cortex
:Category:Parieto-occipital sulcus,,Parieto-occipital sulcus,birnlex_1428,,,,"parieto-occipital incisure,Fissura parieto-occipitalis,Sulcus parietoccipitalis,Sulcus parietooccipitalis,Sulcus parieto-occipitalis,parietooccipital sulcus,parieto-occipital fissure,Sulcus parieto-occipitalis medialis",,,:Category:Cerebral cortex,,,:Category:Sulcus,Sulcus
:Category:Pars nervosa of hypophysis,,Pars nervosa of hypophysis,birnlex_941,,,,"Pars nervosa pituitary gland,Pars nervosa of posterior lobe of pituitary gland,Pars nervosa of hypophysis,posterior pituitary",,,:Category:Neurohypophysis,,,:Category:Regional part of brain,Regional part of brain
:Category:Pars postrema of ventral lateral nucleus,,Pars postrema of ventral lateral nucleus,birnlex_1170,,,,"ventral lateral nucleus (pars postrema),pars postrema,nucleus ventralis lateralis thalami,nucleus lateralis intermedius mediodorsalis situs postremus,posterodorsal part of ventral lateral posterior nucleus (Jones),nucleus dorsointermedius externus magnocellularis (Hassler)",,,:Category:Ventral lateral nucleus,,,:Category:Regional part of brain,Regional part of brain
:Category:Parvicellular part of medial dorsal nucleus,,Parvicellular part of medial dorsal nucleus,birnlex_1283,,,,"parvicellular part,lateral mediodorsal nucleus,parvicellular part of medial dorsal nucleus,nucleus medialis dorsalis,parvicellular part of dorsomedial nucleus,mediodorsal thalamic nucleus,nucleus medialis dorsalis fasciculosis (Hassler),pars fasciculosa,pars parvicellularis,nucleus medialis dorsalis nucleus fasciculosis (Hassler),dorsomedial thalamic nucleus",,,:Category:Medial dorsal nucleus,,,:Category:Regional part of brain,Regional part of brain
:Category:Parvicellular part of ventral anterior nucleus,,Parvicellular part of ventral anterior nucleus,birnlex_722,,,,"parvicellular part,nucleus ventralis anterior (DeWulf),nucleus ventralis anterior,ventral anterior thalamic nucleus,ventralis anterior (Jones),pars parvicellularis",,,:Category:Ventral anterior nucleus,,,:Category:Regional part of brain,Regional part of brain
:Category:Parvicellular part of ventral posteromedial nucleus,,Parvicellular part of ventral posteromedial nucleus,birnlex_917,,,,"parvicellular part,gustatory thalamic nucleus,gustatory nucleus (thalamus),ventral posteromedial nucleus of thalamus,ventroposteromedial nucleus of the thalamus,nucleus ventralis posterior medialis thalami,ventral posteromedial thalamic nucleus,pars parvicellularis",,,:Category:Ventral posteromedial nucleus,,,:Category:Regional part of brain,Regional part of brain
:Category:Parvocellular oculomotor nucleus,,Parvocellular oculomotor nucleus,birnlex_822,"Nucleus that is part of the oculomotor nerve complex consisting of preganglionic parasympathetic neurons situated close to the midline at the level of the superior colliculus (Heimer, the Human Brain and Spinal Cord, 1994, pg 244)",,,Edinger-Westphal nucleus,,,:Category:Oculomotor nuclear complex,,,:Category:Nucleus of CNS,Nucleus of CNS
:Category:Parvocellular part of red nucleus,,Parvocellular part of red nucleus,birnlex_725,"Rostral portion of the red nucleus, located in the midbrain but originated from the diencephalon. Contains both large and small cells.",,,Parvocellular red nucleus,,,:Category:Red nucleus,,,:Category:Regional part of brain,Regional part of brain
:Category:Pedunculopontine tegmental nucleus,,Pedunculopontine tegmental nucleus,birnlex_1437,"A cell group originally defined by Jacobsohn in 1909 in humans, consisting of large, darkly staining neurons adjacent to the superior cerebellar peduncle at the midbrain-pontine junction.  In 1983, Armstrong et al. recognized that these neurons in rats are cholinergic, and closely related to a second cluster of cholinergic cells in the adjacent laterodorsal tegmental nucleus.  In 1987, Rye et al. defined this cell group in rats, gave references to the earlier literature, and demonstrated that it is NOT the target of the descending pallidal projection, but rather next to a region, the Midbrain Extrapyramidal Area (MEA) that does receive this input.  Some modern definitions include many non-cholinergic cells that are interspersed among the cholinergic neurons within the ""PPT,"" but those other cell groups often extend beyond the borders of the cholinergic one, have never been characterized, and many are probably unrelated to it (or have quite different functions).  Hence, for this definition, we are restricting the use to the cholinergic cell group, which was originally given this name by Jacobsohn.",,"These cell groups target a region just medial to the PPT, Shown in most major textbooks, From the internal segment of the globus pallidus and the substantia nigra pars reticulata, Which Rye et al. have called the midbrain extrapyramidal area (MEA). The actual inputs to the PPT neurons are largely unknown., In fact DOES NOT EXIST (!). Instead, The most widely cited afferent input to the PPT","peduncular pontine nucleus,pedunculopontine nucleus,Nucleus tegmenti pedunculopontinus",":Category:Rat,:Category:Human,:Category:Macaca",,:Category:Midbrain reticular formation,,,:Category:Regional part of brain,Regional part of brain
:Category:Periamygdaloid area,,Periamygdaloid area,birnlex_1291,,,,"periamygdaloid region,semilunar gyrus,periamygdaloid cortex,ventral cortical nucleus of amygdala,cortical amygdaloid nucleus",,,:Category:Telencephalon,,,:Category:Regional part of brain,Regional part of brain
:Category:Periamygdaloid cortex,,Periamygdaloid cortex,nlx_144210,"Is located ventral to the basal nucleus and has three subdivisions: the periamygdaloid cortex, the medial division, and the sulcal division.",,,periamygdaloid area,":Category:Rodent,:Category:Carnivora,:Category:Primate",,":Category:Corticomedial nuclear complex,:Category:Cerebral cortex",,,:Category:Regional part of brain,Regional part of brain
:Category:Periaqueductal gray,,Periaqueductal gray,birnlex_973,,,,"periaqueductal gray,Substantia grisea centralis,Griseum centrale,periaqueductal gray matter,Central gray,Central grey substance of midbrain,periaqueductal grey,periaqueductal grey matter,Central grey",,,":Category:Midbrain tegmentum,:Category:Central autonomic network",,,:Category:Regional part of brain,Regional part of brain
:Category:Pericalcarine cortex,,Pericalcarine cortex,birnlex_1059,Component of the parietal lobe.  The rostral boundary of the pericalcarine cortex was the first appearance of the calcarine sulcus whereas the caudal boundary was the most posterior coronal slice where the calcarine sulcus was visualized. The medial and lateral boundaries were the medial portion of the temporal and occipital cortices and the inferomedial end of the calcarine sulcus respectively (Christine Fennema-Notestine).,,,,:Category:Human,,:Category:Parietal lobe,,,:Category:Regional part of brain,Regional part of brain
:Category:Pericentral nucleus of inferior colliculus,,Pericentral nucleus of inferior colliculus,birnlex_1056,,,,,,,:Category:Inferior colliculus,,,:Category:Regional part of brain,Regional part of brain
:Category:Periolivary nucleus,,Periolivary nucleus,birnlex_804,,,,,,,:Category:Superior olivary complex,,,:Category:Regional part of brain,Regional part of brain
:Category:Peripeduncular nucleus,,Peripeduncular nucleus,birnlex_1474,,,,,,,:Category:Midbrain tegmentum,,,:Category:Regional part of brain,Regional part of brain
:Category:Peripheral nervous system,,Peripheral nervous system,birnlex_1111,"The peripheral nervous system (PNS) is the part of the nervous system connected to the CNS which contains cranial nerves III - XII, spinal, peripheral and autonomic nerves. (CUMBO)","The nervous system outside of the brain and spinal cord. The peripheral nervous system has autonomic and somatic divisions. The autonomic nervous system includes the enteric, parasympathetic, and sympathetic subdivisions. The somatic nervous system includes the cranial and spinal nerves and their ganglia and the peripheral sensory receptors.",,,,,,:Category:CUMBO term,,":Category:Part of nervous system,:Category:Regional part of nervous system",Part of nervous system
:Category:Perirhinal cortex,,Perirhinal cortex,nlx_anat_1005006,"Region of cortex near to the rhinal sulcus.  It is defined differently in different nomenclatures, due in part to the lack of agreement on the definition of the border of this region.  In the rat, the perirhinal cortex occupies only caudal levels of the rhinal sulcus while in the monkey, it occurpies the full rostrocaudal extent of the rhinal sulcus (Burwell et al., Hippocampus, 5:  390-408, 1995).",,,Perirhinal area,":Category:Rodent,:Category:Primate",,:Category:Cerebral cortex,,,:Category:Regional part of brain,Regional part of brain
:Category:Peritrigeminal nucleus,,Peritrigeminal nucleus,birnlex_2655,,,,,,,:Category:Medulla oblongata,,,:Category:Regional part of brain,Regional part of brain
:Category:Phrenic nucleus,,Phrenic nucleus,nlx_143970,"Column of motor neurons in the gray matter of the ventral horn of the spinal cord in cervical segments (C3-C5 in humans approximately) that innervate the diaphragm (Nolte, The Human Brain, 6th ed, page 237)",,,,,,:Category:Cervical spinal cord ventral horn,,,:Category:Regional part of spinal cord,Regional part of spinal cord
:Category:Pineal body,,Pineal body,birnlex_1184,"A midline, cone like structure located in the dorso-caudal roof of the 3rd ventricle, attached by peduncles to the habenular and posterior commissures. The stalk contains nerve fibers, blood vessels, connective tissue and parenchymal cells (Paxinos, The Rat Central Nervous System, 2nd ed, pg 399).",,,"corpus pineale,epiphysis,conarium,epiphysis cerebri,pineal gland",,,:Category:Epithalamus,,,:Category:Circumventricular organ,Circumventricular organ
:Category:Piriform cortex layer 1,,Piriform cortex layer 1,nlx_anat_091003,"Most superficial of 3 cytoarchitecturally defined layers of the piriform cortex, characterized by few neuronal cell bodies.  It has been divided into a superficial part and a deep part.",,,"layer 1 of piriform cortex,pyriform cortex layer 1,piriform cortex plexiform layer,plexiform layer of piriform cortex",,,:Category:Prepyriform area,,,:Category:Cell layer,Cell layer
:Category:Piriform cortex layer 1a,,Piriform cortex layer 1a,nlx_anat_091004,Superficial part of plexiform layer (layer 1) of piriform cortex that receives afferents from the olfactory bulb by way of the lateral olfactory tract.,,,,,,:Category:Piriform cortex layer 1,,,:Category:Regional part of brain,Regional part of brain
:Category:Piriform cortex layer 1b,,Piriform cortex layer 1b,nlx_anat_091005,Deeper part of the plexiform (layer 1) of piriform cortex characterized by projection of association fibers from other parts of the piriform cortex and other olfactory areas,,,,,,:Category:Piriform cortex layer 1,,,:Category:Regional part of brain,Regional part of brain
:Category:Piriform cortex layer 2,,Piriform cortex layer 2,nlx_anat_091006,Middle of three cytoarchitecturally defined layers of the piriform cortex characterized by a compact layer of cell bodies.  It can be divided into a superficial part and a more densely packed deep part,,,"layer 2 of piriform cortex,layer II of piriform cortex;  piriform cortex layer II",,,:Category:Prepyriform area,,,:Category:Cell layer,Cell layer
:Category:Piriform cortex layer 2a,,Piriform cortex layer 2a,nlx_anat_091007,Superficial region of layer 2 of the piriform cortex characterized by a less dense packing of cells and a concentration of semilunar cell bodies,,,"Piriform cortex layer IIa,layer IIa of piriform cortex,layer 2a of piriform cortex",,,:Category:Piriform cortex layer 2,,,:Category:Cell layer,Cell layer
:Category:Piriform cortex layer 2b,,Piriform cortex layer 2b,nlx_anat_091008,Deeper of two subdivisions of piriform layer 2 characterized by more densely packed cell bodies dominated by pyramidal cell bodies.,,,,,,:Category:Piriform cortex layer 2,,,:Category:Cell layer,Cell layer
:Category:Piriform cortex layer 3,,Piriform cortex layer 3,nlx_anat_091009,Deepest of 3 cytoarchitecturally defined layers of the piriform cortex characterized by a moderately high density of pyramidal cells and large numbers of basal dendrites descending from pyramidal cells in layer 2.,,,layer 3 of piriform cortex,,,:Category:Prepyriform area,,,:Category:Cell layer,Cell layer
:Category:Planum polare,,Planum polare,nlx_144291,A portion of the superior temporal gyrus near the temporal pole in the human.,,,,:Category:Human,,:Category:Superior temporal gyrus,,,:Category:Regional part of brain,Regional part of brain
