,Label,Synonym,Id,PMID,DefiningCitation,SuperCategory,Species,Definition,DefiningCriteria,Has role,FBbt Id,Abbrev,FBBT Link
:Category:Matrix part of body of caudate nucleus,Matrix part of body of caudate nucleus,,nlx_90785,,,Regional part of brain,,,"topography, chemoarchitecture",,,,
:Category:Matrix part of head of caudate nucleus,Matrix part of head of caudate nucleus,,nlx_anat_1010005,,,Regional part of brain,,Matrix compartment located in the head of the caudate nucleus,"topography, chemoarchitecture",,,,
:Category:Matrix part of tail of caudate nucleus,Matrix part of tail of caudate nucleus,,nlx_anat_1010006,,,Regional part of brain,,Matrix compartment located in the tail of the caudate nucleus,"topography, chemoarchitecture",,,,
:Category:Medial accessory olive,Medial accessory olive,,nlx_anat_100309,,,Regional part of brain,,Regional part of the inferior olivary complex,,,,MAO,
:Category:Medial agranular insular area,Medial agranular insular area,,nlx_282,,,Regional part of brain,:Category:Human,,cyto-architecture,,,Iam,
:Category:Medial dorsal nucleus,Medial dorsal nucleus,"nucleus medialis dorsalis,nucleus dorsomedialis thalami,medial thalamic nucleus,mediodorsal thalamic nucleus,dorsomedial nucleus,medial thalamic nuclei,medial dorsal thalamic nucleus,mediodorsal nucleus,Mediodorsal thalamus,Medial dorsal thalamus",birnlex_1543,,,Regional part of brain,,,,,,"DM, MD",
:Category:Medial dorsal striatum of rodent,Medial dorsal striatum of rodent,"Medial CPu,Medial caudate-putamen",nlx_43067,,,Regional part of brain,,,,,,,
:Category:Medial forebrain bundle,Medial forebrain bundle,,birnlex_908,,,Regional part of brain,,,,,,mfb,
:Category:Medial geniculate body,Medial geniculate body,"corpus geniculatum mediale,medial geniculate complex,medial geniculate nucleus",birnlex_1670,,,Regional part of brain,,"Nuclear complex of the thalamus situated on the caudal, subpial aspect of the thalamus (Brodal, Neurological Anatomy, 3rd ed., 1981, pg 622).",,:Category:Thalamic relay nucleus,,MGN,
:Category:Medial habenular nucleus,Medial habenular nucleus,"medial habenula,nucleus habenulae medialis,nucleus habenularis medialis (Hassler),nucleus habenularis medialis,nucleus habenularis medialis epithalami",birnlex_1431,,,Nucleus of CNS,,,,,,MHb,
:Category:Medial lemniscus of medulla,Medial lemniscus of medulla,,birnlex_1570,,,Regional part of brain,,Part of medial lemniscus located within the medulla,,,,,
:Category:Medial lemniscus of midbrain,Medial lemniscus of midbrain,,birnlex_1296,,,Regional part of brain,,Part of medial lemniscus located within the midbrain,,,,mlmb,
:Category:Medial lemniscus of pons,Medial lemniscus of pons,,birnlex_781,,,Regional part of brain,,Part of medial lemniscus located within the pons,,,,,
:Category:Medial longitudinal fasciculus,Medial longitudinal fasciculus,,nlx_144065,,,Regional part of brain,,"Fiber bundle running longitudinally along the midline in the midbrain, pons and medulla, containing fibers that interconnect the cranial nerve nuclei controlling eye movements (Heimer, L. The Human Brain, 2nd ed., 1995, pg. 245)",,,,,
:Category:Medial longitudinal fasciculus of medulla,Medial longitudinal fasciculus of medulla,,birnlex_1574,,,Regional part of brain,,,,,,,
:Category:Medial longitudinal fasciculus of midbrain,Medial longitudinal fasciculus of midbrain,,birnlex_1302,,,Regional part of brain,,,,,,mlfmb,
:Category:Medial longitudinal fasciculus of pons,Medial longitudinal fasciculus of pons,,birnlex_1708,,,Regional part of brain,,,,,,,
:Category:Medial mammillary nucleus,Medial mammillary nucleus,,birnlex_1299,,,Regional part of brain,:Category:Mammal,,,:Category:Theta rhythm,,MM,
:Category:Medial medullary lamina,Medial medullary lamina,internal medullary lamina of pallidum,birnlex_1501,,,Regional part of brain,:Category:Primate,Thin sheet of white matter dividing the external and internal segments of the globus pallidus in primates,,,,mml,
:Category:Medial nucleus of stria terminalis,Medial nucleus of stria terminalis,"Medial bed nucleus of the stria terminalis,Medial bed nucleus of stria terminalis",nlx_80623,,,Regional part of brain,,,,,,BSTM,
:Category:Medial nucleus of trapezoid body,Medial nucleus of trapezoid body,,birnlex_2595,,,Regional part of brain,,"Nucleus in the pontine tegmentum of most mammals that receives projections from the ventral cochlear nucleus via the large specialized synapse, the Calyx of Held.  It is not clear whether a well defined nucleus is present in humans, although humans may possess scattered cells with similar input.",,,,MNTB,
:Category:Medial oculomotor nucleus,Medial oculomotor nucleus,,birnlex_813,,,Regional part of brain,,,,,,M3,
:Category:Medial olfactory gyrus,Medial olfactory gyrus,,birnlex_1127,,,Regional part of brain,,,,,,,
:Category:Medial orbital frontal cortex,Medial orbital frontal cortex,,birnlex_1249,,,Regional part of brain,,Component of the orbtial frontal cortex.  The rostral boundary is the first slice where the medial orbital gyrus became visible whereas the caudal boundary is the disappearance of the medial orbital gyrus/gyrus rectus. The medial and lateral boundaries are the cingulate cortex on the \\u2018inflated\\u2019 surface and the medial bank of the superior frontal gyrus (or the cingulate gyrus when visible) respectively (Christine Fennema-Notestine).,,,,,
:Category:Medial orbital gyrus,Medial orbital gyrus,,birnlex_1046,,,Regional part of brain,:Category:Human,,,,,,
:Category:Medial parabrachial nucleus,Medial parabrachial nucleus,,birnlex_4038,,,Regional part of brain,,,,,,,
:Category:Medial part of basal amygdaloid nucleus,Medial part of basal amygdaloid nucleus,"medial basal nucleus of amygdala,medial division of basal nucleus",birnlex_2696,,,Regional part of brain,,,,,,BAM,
:Category:Medial part of medial mammillary nucleus,Medial part of medial mammillary nucleus,medial subdivision of medial mammillary nucleus,birnlex_1220,,,Regional part of brain,,,,,,MML,
:Category:Medial part of ventral lateral nucleus,Medial part of ventral lateral nucleus,"ventral lateral nucleus,pars medialis,medial part,nucleus ventrooralis medialis (Hassler),nucleus ventralis lateralis thalami,ventral medial nucleus of thalamus,ventral medial nucleus",birnlex_1159,,,Regional part of brain,,,,,,"VLM, VM",
:Category:Medial pericuneate nucleus,Medial pericuneate nucleus,,birnlex_2648,,,Regional part of brain,,,,,,MPCu,
:Category:Medial pes lemniscus,Medial pes lemniscus,,birnlex_1310,,,Regional part of brain,,,,,,mpl,
:Category:Medial prefrontal cortex,Medial prefrontal cortex,"Dorsomedial prefrontal cortex,DMPFC",nlx_152054,,,Regional part of brain,,"Region of prefrontal cortex comprising the rostral insular cortex and the rostromedial tip of the cingulate gyrus, also referred to as the infrslimbic and prelimbic areas (Kandel et al., Principles of Neural Science, 5th ed., 2013, pg 1072). Medial prefrontal cortex includes parts of Brodmann area 9 in the dorsomedial prefrontal region.",,,,,
:Category:Medial preoptic nucleus,Medial preoptic nucleus,Medial preoptic area,birnlex_706,,,Regional part of brain,,,,,,MPO,
:Category:Medial pulvinar nucleus,Medial pulvinar nucleus,"pars medialis,nucleus pulvinaris thalami,nucleus pulvinaris medialis,nucleus pulvinaris medialis thalami",birnlex_1233,,,Regional part of brain,,,,,,MPul,
:Category:Medial septal nucleus,Medial septal nucleus,Medial septum,birnlex_1668,,,Regional part of brain,,"Cells lying generally in front of Regional_part_of_septal_nuclei, lying ventral to and slightly medial to the lateral septal nucleus.  Neurons in this nucleus give rise to the bulk of efferents from the septal nuclei.  A major projection from the medial septal nucleus terminates in the hippocampal formation (Adapted from Brodal, 1981).",,,,MS,
:Category:Medial shell of nucleus accumbens,Medial shell of nucleus accumbens,Medial nucleus accumbens shell,nlx_25074,,,Shell of nucleus accumbens,,,,,,,
:Category:Medial striatum,,,,,,,,,,,,,
:Category:Medial subnucleus of solitary tract,Medial subnucleus of solitary tract,"nucleus of the solitary tract,medial part",birnlex_2662,,,Regional part of brain,,,,,,MSol,
:Category:Medial superior olivary nucleus,Medial superior olivary nucleus,,birnlex_1682,,,Regional part of brain,:Category:Mammal,"One of two subnuclei of the superior olive located within the caudal pontine tegmentum.  Appears as a parasagittal row of transversely oriented bipolar neurons in transverse sections of human, with elongated somata in humans and other primates and large caliber dendrites.",cyto-architecture,,,MSO,
:Category:Medial transverse frontopolar gyrus,Medial transverse frontopolar gyrus,,birnlex_1074,,,Regional part of brain,,,,,,,
:Category:Medial ventral tegmental area,Medial ventral tegmental area,,nlx_22533,,,Regional part of brain,,,,,,,
:Category:Medial vestibular nucleus,Medial vestibular nucleus,,nlx_144003,,,Regional part of brain,,,,,,,
:Category:Median eminence,Median eminence,"Median eminence of hypothalamus,Median eminence of posterior lobe of pituitary gland,Median eminence of neurohypophysis,eminentia medialis",birnlex_925,,,Circumventricular organ,,"Elevation on the ventral surface of the brain located at the zone of attachment between the hypothalamic floor and the hypophysis (Butler and Hodos, Comparative Vertebrate Neuroanatomy, 2nd ed., 2005, pg. 446).",,,,ME,
:Category:Median preoptic nucleus,Median preoptic nucleus,Medial preoptic area,birnlex_1208,,,Regional part of brain,,,,,,MnPO,
:Category:Medulla oblongata,Medulla oblongata,"Afterbrain,Bulb,Epencephalon,Metencephalon,Myencephalon",birnlex_957,,,Regional part of brain,,"The lower portion of the hindbrain and brainstem located between the pons and spinal cord. This structure contains several descending and ascending tracts, lower cranial nerve nuclei, a significant proportion of the reticular system of the brainstem and other structures (adapted from NCI Thesaurus).The topographic division of the cerebrospinal axis between pons and spinal cord. It was clearly described and illustrated for macrodissected adult humans by Piccolomini (1586, pp. 265, 269; his intracranial medulla oblongata), while the term medulla was used by Winslow (1733, Sect. X, p. 42) and Haller (1747, see translation by Mihles, 1754, pp. 287, 286), and more recently in the classic textbooks of for example Mettler (1948, p. 76) and Carpenter (1976, p. 60).",topography,,,,
:Category:Medullary anterior horn,Medullary anterior horn,,birnlex_2649,,,Regional part of brain,,,,,,MAH,
:Category:Medullary raphe nuclear complex,Medullary raphe nuclear complex,raphe nuclei of medulla,birnlex_1420,,,Regional part of brain,,,,,,,
:Category:Medullary reticular formation,Medullary reticular formation,,birnlex_1020,,,Regional part of brain,,Part of reticular formation located in the medulla,,,,,
:Category:Medullary white matter,Medullary white matter,,birnlex_1414,,,Regional part of brain,,,,,,,
:Category:Mesencephalic nucleus of trigeminal nerve,Mesencephalic nucleus of trigeminal nerve,mesencephalic trigeminal nucleus,birnlex_1010,,,Regional part of brain,:Category:Mammal,"Elongated nucleus located in the midbrain tegmentum that receives proprioceptive input from both teh extraocular and the masticatory muscles.  Contrary to the general rule, the cell bodies that give rise to these sensory fibers are located within the mesencephalic nucleus rather than in a peripheral ganglion.  Some of the sensory fibers in the mesencephalic root give off collaterals to the trigeminal motor nucleus, thereby providing the anatomic basis for the monosynaptic jaw reflex. (Heimer, L.  The Human Brain and Spinal Cord, 2nd ed. 1996, page 248).",,:Category:Cranial nerve nucleus,,Me5,
:Category:Mesencephalic tract of trigeminal nerve,Mesencephalic tract of trigeminal nerve,,birnlex_1318,,,Regional part of brain,,,,,,me5,
:Category:Mesopallium intermediomediale,Mesopallium intermediomediale,intermedier-medial hyperstriatum ventrale; IMHV,nlx_144490,,,Regional part of brain,:Category:Aves,,,,,IMM,
:Category:Metathalamus,Metathalamus,"nuclei metathalami,geniculate group of the dorsal thalamus",birnlex_1461,,,Regional part of brain,,,,,,MTh,
:Category:Metencephalon,Metencephalon,,birnlex_965,,,Regional part of brain,,Anterior part of the hindbrain ventral to the cerebellum.,,,,,
:Category:Midbrain,Midbrain,Mesencephalon,birnlex_1667,,,Regional part of brain,,"Part of the brain that develops from the middle of the 3 primary vesicles of the embryonic neural tube, between the prosencephalon and rhombencephalon, later forming the tectum and cerebral peduncles. (CSP)",,:Category:PONS reference structure,,MB,
:Category:Midbrain raphe nuclei,Midbrain raphe nuclei,Midbrain raphe,birnlex_1676,,,Regional part of brain,,"Midline nuclei found in the midbrain, includes the dorsal raphe nucleus and the rostral linear  nucleus of raphe.",,,,RLi,
:Category:Midbrain reticular formation,Midbrain reticular formation,,birnlex_1235,,,Regional part of brain,,Part of the reticular formation located in the midbrain tegmentum,,,,MBRF,
:Category:Midbrain tectum,Midbrain tectum,"tectum,Corpora quadrigema",birnlex_1032,,,Regional part of brain,:Category:Vertebrata,"Dorsal part of the midbrain, consisting of the superior and inferior colliculi and the pretectal nuclei (MM).The dorsal topographic division of the midbrain, essentially dorsal to the cerebral aqueduct and dominated in mammals by the superior colliculi and inferior colliculi, and contrasting with the ventral topographic division, the tegmentum. Schwalbe (1881, p. 454) apparently introduced the term as currently used, ""Decke des Mittelhirns"" in the original German; also see Cajal (1899-1904, vol 2, pt 1, p. 449), ""el techo"" and ""la porciÃ_n tectal"" in the original Spanish. Also see Williams & Warwick (1980, p. 940), International Anatomical Nomenclature Committee (1983, p. A68), Federative Committee on Anatomical Terminology (1998, A14.1.06.601). Common synonym is corpora quadrigemina (Winslow, 1733).",topography,,,Tec,
:Category:Midbrain tegmentum,Midbrain tegmentum,,birnlex_1200,,,Regional part of brain,,,,:Category:PONS reference structure,,MTg,
:Category:Middle cerebellar peduncle,Middle cerebellar peduncle,brachium pontis,birnlex_1529,,,Regional part of brain,,"Regional part of medullary white matter (according to Neuronames) primarily found at the level of the pons,  consisting of a very large bundle of fibers originating in the pontine nuclei projecting to the cerebellum (MM).",,,,"mcp, bp",
:Category:Middle frontal gyrus,Middle frontal gyrus,,birnlex_1451,,,Regional part of brain,:Category:Human,"Component of the frontal lobe, lateral aspect (Christine Fennema-Notestine).",topography,,,,
:Category:Middle temporal area,Middle temporal area,,nlx_anat_20090308,4998922,"Allman JM, Kaas JH. 1971 A representation of the visual field in the caudal third of the middle tempral gyrus of the owl monkey (Aotus trivirgatus). Brain Res. 1971 31:85-105.",Regional part of brain,:Category:Aotus trivirgatus,"The term ""middle temporal visual area"" was first used by Allman and Kaas (1971) for a region of the owl monkey brain located on the ""caudal third of the middle  temporal  gyrus.""  Functionally, it contains ""a complete representation of  the contralateral half of the visual field... This representation of the visual field (MT) corresponds to a histologically distinct area adjacent and rostral to area 19... The horizontal meridian divides MT into a lateral portion representing the upper visual quadrant and a medial portion representing  the lower quadrant.  The center of gaze is represented in the caudal portion of MT bordering area 19.""","cyto-architecture, myelo-architecture",,,"MT, MT(V5)",
:Category:Middle temporal area (Rhesus macaque),Middle temporal area (Rhesus macaque),V5,nlx_151686,5002708,,Regional part of brain,:Category:Rhesus monkey,"Originally described by Dubner and Zeki (1971) in rhesus macaques as ""a well defined, and seeminglycondensed, projection from the striate cortex"" in the posterior bank of the superior temporal sulcus.  Unlike neurons in areas 17, 18, and 19 (V1, V2, V3), cells in this region ""are relatively insensitive to form and position but have specific requirements of direction of movement.""  This region was later referred to as the middle temporal area (MT) after the presumed homologous region in owl monkeys.  Zeki later termed it V5 (the fifth cortical visual area).",,,,MT,
:Category:Middle temporal gyrus,Middle temporal gyrus,gyrus temporalis medius,birnlex_1653,,,Regional part of brain,:Category:Human,"Component of the temporal lobe, lateral aspect.  The rostral boundary  is the rostral extent of the superior temporal sulcus whereas the caudal boundary is the temporo-occipital incisure on the cortical surface. The superior temporal sulcus is the medial boundary and the inferior temporal sulcus is the lateral boundary (Christine Fennema-Notestine).",,,,,
:Category:Midline nuclear group,Midline nuclear group,"nuclei mediani (thalami),midline nuclei of thalamus,periventricular nuclei of thalamus,MNG",birnlex_1462,,,Regional part of brain,,,,,,,
:Category:Molecular layer of dorsal cochlear nucleus,Molecular layer of dorsal cochlear nucleus,Dorsal cochlear nucleus molecular layer,nlx_89,,,Cell layer,,,,,,MoC,
:Category:Motor cortex,Motor cortex,Motor area,oen_0001104,,,Functional part of brain,,Region of the cerebral cortex that leads to muscle action,,,,,
:Category:Motor nucleus of trigeminal nerve,Motor nucleus of trigeminal nerve,"motor trigeminal nucleus,trigeminal motor nucleus,trigeminal nucleus",birnlex_1222,,,Nucleus of CNS,:Category:Mammal,"Nucleus located in the pontine tegmentum containing cells that give rise to motor innervation of the jaw through the trigeminal nerve.  It receives both crossed and uncrossed fibers from the cerebral cortex (Heimer, L. The Human Brain and Spinal Cord, 2nd ed., 1996, pg 248).",,:Category:Cranial nerve nucleus,,,
:Category:Motor root of trigeminal nerve,Motor root of trigeminal nerve,,birnlex_1717,,,Regional part of brain,,,,,,,
:Category:Neocortex,Neocortex,"neopallium,homotypical cortex,isocortex",birnlex_2547,,,Regional part of brain,:Category:Mammal,"Part of cerebral cortex defined on the basis of cytoarchitecture that has six layers. Starting from the cortical surface the layers are: molecular layer (I), external granular layer (II), external pyramidal layer (III), internal granular layer (IV), internal pyramidal layer (V), and multiform layer (VI). Neocortex is most prominent in the frontal lobe, the parietal lobe, the temporal lobe and the occipital lobe, less so in the cingulate gyrus, the parahippocampal gyrus and the insula. It is composed of two subdivisions: true isocortex and proisocortex (Carpenter-83) (NN) * The largest portion of the CEREBRAL CORTEX. It is composed of NEURONS arranged in six layers. (MSH) * the newer, 6 layered portion of the cerebral cortex showing stratification and organization characteristic of the most highly evolved type of cerebral tissue. (CSP)",cyto-architecture,,,,
:Category:Neocortex layer 5A,Neocortex layer 5A,,nlx_151719,,,Regional part of brain,,,,,,,
:Category:Neocortex layer 5B,Neocortex layer 5B,,nlx_151718,,,Regional part of brain,,,,,,,
:Category:Neodentate part of dentate nucleus,Neodentate part of dentate nucleus,Neodentate portion of dentate nucleus,birnlex_1567,,,Regional part of brain,,,,,,NDt,
:Category:Neurohypophysis,Neurohypophysis,"posterior lobe of pituitary,neural lobe of pituitary",birnlex_1586,,,Circumventricular organ,,"The neurohypophysis not only consists of the nerve endings of the oxytocin- and vasopressin-secreting neurons of the hypothalamus, but also receives both dopamine- and opiate peptide-containing nerve fibers. This secondary innervation may regulate hormone secretion at the level of the nerve terminals by an action similar to presynaptic inhibition (PMID: 7088170).",,,,NHP,
:Category:Nodulus,Nodulus,,birnlex_1165,,,Regional part of brain,,,,,,,
:Category:Nucleus accumbens,Nucleus accumbens,"nucleus accumbens septi,accumbens nucleus",birnlex_727,,,Nucleus of CNS,:Category:Mammal,"A region of the brain consisting of a collection of neurons located in the forebrain ventral to the caudate and putamen.  (caudoputamen in rodent) and continuous with these structures.  There is no distinct boundary between the nucleus accumbens and the caudate/putamen, but in rodents, it can be identified by its lack of traversing fiber bundles in comparison to the dorsal striatum.  Its principle neuron is the medium spiny neuron.  Together with the neostriatum (caudate nucleus and putamen), the nucleus accumbens forms the striatum.",,,,Acb,
:Category:Nucleus ambiguus,Nucleus ambiguus,,birnlex_2650,,,Regional part of brain,,,,:Category:Cranial nerve nucleus,,Amb,
:Category:Nucleus gigantocellularis,Nucleus gigantocellularis,"Gigantocellular nucleus,gigantocellular reticular nucleus,nucleus reticularis gigantocellularis",nlx_anat_1005001,,,Nucleus of CNS,,,,,,Gi,
:Category:Nucleus incertus,Nucleus incertus,"Central Gray pars 0,Central Gray part alpha,Charles Watson. - 5th ed.)",nlx_144477,,,Regional part of brain,,"Distinct cell group in caudoventral regions of the pontine periventricular gray, adjacent to the ventromedial border of the caudal dorsal tegmental nucleus.",,,,"NI, CG0, CGalpha, CGbeta",
:Category:Nucleus intercalatus,Nucleus intercalatus,"intercalated nucleus of medulla,nucleus Staderini",birnlex_2654,,,Regional part of brain,,,,,,In,
:Category:Nucleus of CNS,Nucleus of CNS,nucleus,nlx_28443,,,Regional part of brain,,"A spatially aggregated collection of nerve cell bodies in the CNS, consisting of one or more subpopulations that share cell type, chemical phenotype, and connections, and including nearby cells that share the same cell type, chemical phenotype, and connections. (CUMBO)",,:Category:CUMBO term,,,
:Category:Nucleus of Darkschewitsch,Nucleus of Darkschewitsch,,birnlex_896,,,Regional part of brain,,,,,,Dk,
:Category:Nucleus of anterior commissure,Nucleus of anterior commissure,"bed nucleus of anterior commissure,bed nucleus of the anterior commissure,Nucleus commissurae anterioris",birnlex_712,,,Nucleus of CNS,:Category:Mammal,,,,,,
:Category:Nucleus of diagonal band,Nucleus of diagonal band,"diagonal band nucleus,nucleus of diagonal band,nucleus of the diagonal band of Broca,Nucleus fasciculi diagonalis Brocae",birnlex_719,,,Nucleus of CNS,,,,,,,
:Category:Nucleus of field H of Forel,Nucleus of field H of Forel,,nlx_144081,,,Regional part of brain,:Category:Mammal,"Nucleus of the subthalamus comprising cells lying scattered among fiber tracts, at the level of the mesodiencephalic junction, immediately rostral to the red nucleus and ventrolateral to the ventral tegmental area (Butler and Hodos, Comparative Vertebrate Anatomy, 2nd ed., 2005, p 478)",,,,,
:Category:Nucleus of lateral olfactory tract,Nucleus of lateral olfactory tract,Nucleus of the lateral olfactory tract,birnlex_2702,,,Nucleus of CNS,:Category:Mammal,,,,,LOT,
:Category:Nucleus of medial eminence,Nucleus of medial eminence,,birnlex_870,,,Regional part of brain,,,,,,,
:Category:Nucleus of optic tract,Nucleus of optic tract,"nucleus of the optic tract,optic tract nucleus",birnlex_868,,,Regional part of brain,,"Predominantly gray matter structure consisting of large multipoloar cells lying aong axons of the brachium of the superior colliculus, lyaing adjaent to the dorsal terminal nucleus of the accessory optic system.  In several species, cells of this nucleus receive inpu from the contralateral retina (Sefton and Dreher in Paxinos, G.  The rat nervous system, 1995, pg. 862).",,,,,
:Category:Nucleus of posterior commissure,Nucleus of posterior commissure,,birnlex_1470,,,Regional part of brain,,,,,,PCom,
:Category:Nucleus of pretectal area,Nucleus of pretectal area,,birnlex_864,,,Regional part of brain,,,,,,,
:Category:Nucleus of the brachium of the inferior colliculus,Nucleus of the brachium of the inferior colliculus,,nlx_144476,,,Regional part of brain,,,,,,,
:Category:Nucleus of the stria medullaris,Nucleus of the stria medullaris,,nlx_144458,,,Regional part of brain,:Category:Mouse,Small nucleus in the thalamus lying between the fornix and the stria medullaris.,cyto-architecture,,,,
:Category:Nucleus paramedianus dorsalis,Nucleus paramedianus dorsalis,nucleus paramedianus dorsalis,nlx_143549,,"Olszewski J, Baxter D. Cytoarchitecture of the human brain stem. Karger; Basel: 1954.",Regional part of brain,:Category:Human,"Small nucleus in the brainstem of human, located adjacent and medial to the nucleus prepositus in the dorsal medulla, described in several atlases of human brain stem.  In transverse sections, it is oval with its long axis aligned with the dorsal border of the brainstem.  It begins at about the same A-P level as the nucleus prepositus, just rostral to the hypoglossal nucleus.  It includes calretinin immunoreactive large cells with oval or polygonal cell bodies. Cells are not immunoreactive for either calbindin or parvalbumin, but a few fibers immunoreactive to each protein are found within its central region. Cells in PMD are also immunoreactive to nNOS, and immunoreactivity to a neurofilament protein shows many labeled cells and fibers.  According to Baizer et al., no equivalent structure was observed in the cat, rat, mouse or monkey atlas although they did not look at the brains of the great apes.","cyto-architecture, topography, chemoarchitecture",,,PMD,
:Category:Nucleus prepositus,Nucleus prepositus,"prepositus nucleus,prepositus hypoglossal nucleus,nucleus praepositus,nucleus prepositus hypoglossi",birnlex_2652,,,Regional part of brain,:Category:Mammal,,,,,"PrP, Pr",
:Category:Nucleus raphe magnus,Nucleus raphe magnus,raphe magnus nucleus,birnlex_1363,,,Regional part of brain,,,,,,RMg,
:Category:Nucleus raphe obscurus,Nucleus raphe obscurus,raphe obscurus nucleus,birnlex_1369,,,Regional part of brain,,,,,,ROb,
:Category:Nucleus raphe pallidus,Nucleus raphe pallidus,raphe pallidus nucleus,birnlex_1375,,,Regional part of brain,,,,,,RPa,
:Category:Nucleus retroambigualis,Nucleus retroambigualis,,nlx_144482,,,Regional part of brain,,"a group of neurons in the medulla at the caudal end of the nucleus ambiguus, from which the cranial part of the accessory nerve originates (adapted from Brain Info)",,,,,
:Category:Nucleus rotundus of thalamus,Nucleus rotundus of thalamus,nucleus rotundus thalami,nlx_144481,,,Regional part of brain,,,,,,,
:Category:Nucleus subceruleus,Nucleus subceruleus,,birnlex_1088,,,Regional part of brain,,,,,,,
:Category:Obex,Obex,,nlx_151877,,,Regional part of brain,,"Small fold of tissue found at the caudal end of the 4th ventricle on the surface of the brain in the caudal medulla.  It also marks the location of the dorsal column nuclei (Adapted from Butler and Hodos, Comparative Vertebrate Neuroanatomy, 2nd ed., 2005, pg 135.",,:Category:Landmark,,,
:Category:Occipital cortex,Occipital cortex,,nlx_94204,,,Regional part of brain,:Category:Mammal,"Gray matter of neocortex located in the occipital lobe in organisms that have distinct lobes, located in the occipital pole and continuous with the gray matter of the parietal cortex and temporal cortex",,,,,
:Category:Occipital cortex of human,Occipital cortex of human,human occipital cortex,FMAID: 67325,,http://sig.biostr.washington.edu/fma3.0#Occipital_lobe,Regional part of brain,:Category:Human,"Gray matter located in the occipital lobe of humans which occupies the posterior-most portion of the hemisphere. Anteriorly, it shares an arbitrary border with the gray matter of the parietal lobe and temporal lobe. Medially, it is bounded by the longitudinal cerebral fissure (adapted from FMA).",,,,,
:Category:Occipital gyrus,Occipital gyrus,,birnlex_747,,,Regional part of brain,,,,,,,
:Category:Occipital lobe,Occipital lobe,,birnlex_1136,,,Regional part of brain,,Posterior part of the cerebral hemisphere (MSH),,,,,
:Category:Occipital pole,Occipital pole,Polus occipitalis,birnlex_4016,,,Superficial feature part of occipital lobe,,,,,,ocp,
:Category:Oculomotor nerve fibers,Oculomotor nerve fibers,,birnlex_1323,,,Regional part of brain,,,,,,3nf,
:Category:Oculomotor nuclear complex,Oculomotor nuclear complex,oculomotor nucleus,birnlex_1240,,,Regional part of brain,,"Nuclear complex containing subnuclei that give rise to the axons of the occulomotor nerve, both motor and parasympathetic fibers, situated at the midline at the level of the superior colliculus in the midbrain tegmentum (Brodal, Neurological Anatomy, 3rd ed., 1981, pg 533-534).",,:Category:Cranial nerve nucleus,,3N,
:Category:Olfactory bulb,Olfactory bulb,main olfactory bulb,birnlex_1137,,,Regional part of brain,,Structure of the vertebrate telencephalon involved in olfaction.,,,,Olb,
:Category:Olfactory bulb (main) internal plexiform layer,Olfactory bulb (main) internal plexiform layer,,nlx_63363,,,Regional part of brain,,"Lamina of the main olfactory bulb lying deep to the mitral cell layer and superficial to the granule cell layer. (in Shepherd, The Synaptic Organization of the Brain, ed 5, Fig. 5.2, page 167)",cyto-architecture,,,,
:Category:Olfactory bulb (main) internal plexiform layer outer part,Olfactory bulb (main) internal plexiform layer outer part,,nlx_152602,,,Regional part of brain,,,,,,,
:Category:Olfactory bulb accessory nucleus,Olfactory bulb accessory nucleus,Accessory olfactory bulb,nlx_53,,,Nucleus of CNS,:Category:Rodent,,,,,,
:Category:Olfactory bulb main external plexiform layer,Olfactory bulb main external plexiform layer,,nlx_96,,,Regional part of brain,:Category:Mammal,"Cytoarchitectural part of the olfactory bulb, lying superior to the mitral cell layer and inferior to the glomerular layer.  The EPL is mostly neuropil composed almost entirely of mitral and tulfted cell dendrites and granule cell dendrites and their synaptic inputs.",cyto-architecture,,,EPL,
:Category:Olfactory bulb main glomerular layer,Olfactory bulb main glomerular layer,,nlx_anat_1005011,,,Regional part of brain,,"The glomerular layer of the main olfactory bulb, lying deep to the olfactory nerve layer.  It contains the glomeruli, neuropil rich spheroid structures surrounded by a distinctive shell of small neuros and glial cells (Paxinos, the Rat Nervous System, 2nd ed., Academic Press, 1995).",,,,Gl,
:Category:Olfactory bulb main granule cell layer,Olfactory bulb main granule cell layer,Olfactory bulb granule cell layer,nlx_407,,,Regional part of brain,,,,,,GrO,
:Category:Olfactory bulb main mitral cell body layer,Olfactory bulb main mitral cell body layer,,nlx_anat_100201,,,Regional part of brain,,,,,,Mi,
:Category:Olfactory bulb main of rodent,Olfactory bulb main of rodent,,nlx_anat_1005019,,,Olfactory bulb,,,,,,,
:Category:Olfactory bulb main olfactory nerve layer,Olfactory bulb main olfactory nerve layer,,nlx_anat_1005010,,,Regional part of brain,,Superficial layer of the main olfactory bulb containing axons from the olfactory nerve and glial cells,,,,,
:Category:Olfactory cortex,Olfactory cortex,,birnlex_2707,,,Regional part of brain,,"Aggregate brain region defined as those areas of cerebral cortex receiving direct synaptic input from the olfactory bulb (Price, 1973).  The most recognized structure is the piriform cortex (prepyriform area), but other areas are often included, e.g., the olfactory tubercle.",,,,,
:Category:Olfactory entorhinal cortex,Olfactory entorhinal cortex,,birnlex_2705,,,Regional part of brain,,"A part of the entorhinal area defined on the basis of connectivity. It is the rostral portion, which receives a projection from the olfactory bulb (Price-90)-Adapted from Brain Info",,,,EOl,
